headid	cat	head_word
180481	n	degenerate
180491	vtr	dehydrate
180495	vtr	deign
180497	adj	dejected
180498	n	delay
180546	n	demand
180588	n	den
180618	n	deodorant
180620	vi	depart
180694	vtr	derail
180710	n	descaler
180800	vtr	detach
180845	n	deuce
180846	n	devaluation
180889	n	dew
180892	n	dexterity
180897	n	diabetes
180943	n	dice
180962	vtr	diddle
180963	n	die
180980	vi	differ
180998	n	dig
181029	adj	dilapidated
181042	adj	dim
181061	n	din
181089	n	diocesan
181093	n	dip
181109	adj	dire
181151	n	disability
181470	n	ditch
181477	n	dive
181515	pr n	Dixie
181516	n	DIY
181517	adj	dizzy
181519	n	DNA
181530	n	d.o.b
181531	adj	docile
181555	vi	dodder
181562	n	doe
181565	n	dog
181588	n	doh
181589	npl	doings
181591	npl	doldrums
181605	n	domain
181623	n	don
181631	vi	doodle
181647	n	dope
181651	adj	dormant
181656	n	dosage
181661	n	dot
181669	n	double
181741	n	dove
181746	adj	dowdy
181786	abbrev	doz
181791	n	Dphil
181792	n	DPP
181793	n	Dr=Doctor
181794	adj	drab
181867	n	dread
181903	n	dribble
181967	adj	droll
182001	n	drug
182031	adj	dry
182046	n	DSS
182048	n	DTI
182049	n	DTP
182050	adj	dual
182053	vtr	dub
182057	n	duchess
182062	n	dud
182064	n	due
182070	n	duke
182071	adj	dull
182076	adj	dumb
182086	n	dunce
182091	n	duo
182092	n	dupe
182098	adj	durable
182101	n	dusk
182118	n	Dutch
182131	n	duvet
182133	n	dwarf
182136	vi	dwell
182140	vi	dwindle
182142	n	dye
182147	n	dying
182149	n	dyke
182150	n	dynamic
182156	n	dysentery
182161	vi	baa
182164	n	babble
182190	n	baccalaureate
182291	n	bad
182308	vtr	baffle
182311	n	bag
182330	n	Bahamas
182332	n	bail
182340	n	bake
182351	n	balaclava
182410	n	bamboo
182412	n	ban
182493	n	baptism
182496	n	bar
182597	n	base
182658	n	bat
182726	n	bauble
182727	pr n	Bavaria
182728	n	bawdiness
182731	n	bay
182738	n	bazaar
182740	n	B&B
182741	n	BBC
182743	n	BDS
182746	n	beach
182830	adj	becalmed
182838	n	bed
182880	n	bee
182911	vtr	befall
182922	vtr	beg
182941	vi	behave
182952	n,adj	beige
182956	adj	bejewelled
182957	adj	belated
183018	vtr	bemoan
183020	n	bench
183053	vtr	bequeath
183055	vtr	berate
183071	vtr	beseech
183093	n	bet
183114	n	bevel
183118	excl	beware
183125	prep	beyond
183128	n	bezique
183130	abbrev	BGC
183131	pr n	Bhutan
183132	n	bias
183136	n	bib
183143	n	bicentenary
183154	n	bid
183160	adj	biennial
183162	npl	bifocals
183163	adj	big
183191	n	bike
183194	adj	bilateral
183223	n	bimbo
183224	n	bin
183240	n	biochemist
183260	adj	bipartisan
183262	n	birch
183297	n	biscuit
183304	n	bit
183328	n	bivouac
183330	adj	bizarre
183331	vtr	blab
183435	n	bleach
183466	n	blight
183509	adj	bloated
183614	n	blubber
183675	n	boa
183712	n	bob
183722	vi	bode
183743	n	boffin
183744	n	bog
183749	n	bohemia
183751	n	boil
183768	n	bold
183787	n	bomb
183810	n	bonanza
183836	n	boo
183920	n	bop
183923	n	Bordeaux
183949	pr n	Bosnia
183956	adj	botanic(al)
183995	adj	bouffant
184020	adj	bovine
184021	n	bow
184045	n	box
184061	n	boy
184071	n	bra
184167	n	breach
184281	n	briar
184376	vtr	broach
184471	n	bruise
184506	n	BSE
184508	n	BST
184509	n	bubble
184523	n	buccaneer
184548	n	bud
184569	n	buff
184581	n	bug
184590	n	build
184614	n	bulb
184661	n	bum
184685	n	bun
184710	n	buoy
184716	vi	burble
184782	n	bus
184851	adv	but
184892	adj	buxom
184893	n	buy
184903	n	buzz
184914	n	bye
184920	adj	bygone
184921	n	bylaw
184923	n	bypass
184929	n	byte
184930	n	byway
184933	n	Byzantine
200003	n	ma'am
200004	n	mac
200030	adj	mad
200047	n	MAFF
200049	n	mag
200083	n	mahogany
200084	n	maid
200136	n	Maj
200145	n	make
200167	adj	maladjusted
200212	n	mammal
200217	n	man
200218	npl	men
200317	n	map
200322	vtr	mar
200360	n	mutant
200383	n	Muzak
200390	n	myopia
200392	pron	myself
200403	adj	puzzled
200405	n	pygmy
200406	n modifier	pyjamam
200408	n	pylon
200409	n	pyramid
200418	n	nursing
200424	n	nut
200433	vtr	nuzzle
200438	pr n	NYC
200439	n	nylon
200441	n	nymph
200445	n	owner
200451	npl	oxen
200452	adj	oxblood
200456	npl	oxfords
200457	vtr	oxidize
200459	pr n	Oxon
200460	n	oxygen
200462	n	oyster
200468	n	ozone
200473	n	myth
200483	n	putty
200491	n	number
200493	vtr	overstay
200530	vtr	owe
200531	adj	owing
200533	n	owl
200621	n	outsize
200646	n	oval
200747	n	quiver
200755	n	quoit
200811	pr n	Qatar
200813	pr n	QED
200814	n	qty
200815	n	quack
200901	combining 	qausi
200909	n	queasiness
300002	det	each
300005	adj	eager
300011	n	ear
300042	n	ease
300069	vtr	eat
300082	vi	eavesdrop
300083	n	ebb
300086	n	ebony
300087	adj	ebullient
300089	n	eccentric
300092	n	ECG
300093	n	echo
300097	n	eclipse
300099	adj	eco
300120	n	ecstasy
300124	n	ecu
300127	n	eczema
300128	n	Ed.B
300129	n	eddy
300131	pr n	Eden
300132	n	edge
300142	adj	edible
300155	vtr	educate
300172	n	Edwardian
300174	n	EEC
300176	n	eel
300177	adj	eerie
300178	vtr	efface
300203	n	EFL
300205	n	EFT
300208	adj	egalitarian
300209	n	egg
300224	n	ego
300234	pr n	Egypt
300237	n	eiderdown
300238	n	eight
300256	pr n	Eire
300257	pron	either
300261	vtr	ejaculate
300264	vtr	eject
300267	v	eke
300268	adj	elaborrate
300280	pr n	Elba
300285	n	elder
300293	n	elect
300354	n	elf
300355	vtr	elicit
300363	n	elm
300364	n	elocution
300372	adv	elso
300374	n	ELT
300375	vtr	elucidate
300378	adj	emaciated
300385	vtr	embalm
300412	n	fiction
300420	vtr	emend
300448	n	emigrant
300459	n	Emmy
300460	n	emollient
300470	n	empathy
300499	n	EMS
300500	vtr	emulate
300504	vtr	enable
300512	abbrev	enc
300543	n	end
300592	n	enema
300605	vtr	enfold
300609	vtr	engage
300650	vtr	enhance
300651	n	enigma
300653	vtr	enjoy
300657	vtr	enlarge
300668	vtr	enmest
300670	vtr	ennoble
300671	n	enormity
300675	v	enquire
300677	vtr	enrage
300683	vtr	ensconce
300688	n	ENT
300752	vtr	enumerate
300756	vtr	envelop
300777	n	enzyme
300778	n	EOC
300779	adj	ephemeral
300780	n	epic
300784	adj	eoidemic
300800	n	epoch
300803	adj	equable
300844	n	era
300852	adj	erect
300855	n	ergonomics
300856	pr n	Erie
300858	n	ERM
300860	vtr	erode
300866	vi	err
300873	n	ersatz
300875	adj	erudite
300879	n	escalator
300897	n	Eskimo
300899	n	ESL
300900	n	esophagus
300902	abbrev	esp
300909	abbrev	Esq
300910	n	essay
300917	abbrev	est
300941	abbrev	ETA
300944	vtr	etch
300946	adj	eternal
300949	n	ether
300962	n	etiquette
300963	n	Etruscan
300965	n	etymology
300967	n	eugenics
300968	vtr	eulogize
300971	n	eunuch
300972	n	euphemism
300976	n	Eurasian
301003	n	euthanasia
301004	vtr	evacuate
301016	n	eve
301063	vtr	evict
301071	adj	evocative
301077	n	ewe
301083	vtr	exacerbate
301103	vtr	excavate
301171	n	exec
301201	vtr	exhale
301224	n	exile
301236	n	exodus
301246	vtr	expand
301361	adj	exquisite
301366	adj	extant
301438	n	exuberance
301445	n	eye
301478	n	eyrie
301482	n	FAA
301483	n	fable
301491	n	face
301535	n	fad
301545	npl	faeces
301546	n	fag
301549	n	fah
301550	n	fail
301600	n	fake
301603	n	falcon
301659	n	fame
301690	n	fan
301716	n	FAO
301717	adv	far
301761	n	fascia
301800	n	fat
301836	n	faucet
301846	n	favour
301849	n	gab
301855	n	gadget
301857	n	gaff
301860	n	gag
301864	n	gaiety
301874	abbrev	gal
301905	n	fawn
301909	n	fax
301912	vtr	faze
301913	n	FBI
301914	n	FCO
301915	n	FDA
301916	n	fear
301942	abbrev	Feb
301944	adj	feckless
301946	abbrev	fed
301959	n	fee
301962	pr n	Gambia
301975	n	gyp
301982	vi	gyrate
301999	n	gander
302014	abbrev	gaol
302015	n	gap
302018	n	garage
302073	n	gas
302119	n	gate
302151	vtr	feign
302155	adj	felicitous
302178	n	female
302188	n	fen
302198	adj	feral
302224	vi	fester
302230	vtr	fetch
302241	n	feud
302245	n	fever
302250	quantif	few
302257	adj	fey
302258	n	fez
302260	n	fiance
302263	n	fib
302277	n	fiddle
302286	n	fief
302313	n	fife
302331	n	fig
302364	pr n	Fiji
302365	n	filament
302434	n	fin
302506	abbrev	fiord
302507	n	fir
302603	adj	fiscal
302638	n	fit
302658	n	five
302663	n	fix
302675	n	fizz
302680	n	fjord
302682	n	flab
302759	n	fuselage
302769	adj	futile
302776	abbrev	fuze
302786	n	fury
302808	n	fuchsia
302809	adj	fuddled
302813	n	fuel
302822	adj	fuggy
302826	n	fulcrum
302866	n	fumble
302873	n	fun
302962	n	flea
302973	n	flleece
302994	n	flick
303047	n	float
303137	n	flu
303177	n	fly
303209	n	foal
303214	n	fob
303217	adj	focal
303223	n	fodder
303224	n	foe
303227	n	fog
303234	n	foible
303238	n	fold
303277	vtr	foment
303278	adj	fond
303282	n	food
303325	prep	for
303522	n	fossil
303529	abbrev	fought
303580	n	fowl
303581	n	fox
303593	n	fracas
303650	n	freak
303790	abbrev	Fri
303841	n	frock
303890	vi	fructify
303919	n	fry
303946	adj	gauche
303957	abbrev	gave
303958	adj	gawky
303959	n	gay
303960	adj	fay
303963	n	gaze
303970	n	GBH
303971	n	GCSE
303972	n	GDP
303973	n	gear
303979	excl	gee
303981	n	gel
303986	n	gem
303988	n	gen
304072	n	geographer
304092	n	gerbil
304116	vi	gestate
304121	vtr	get
304154	pr n	Ghana
304156	n	gherkin
304159	n	ghost
304167	n	GHQ
304169	n	giant
304172	vi	gibber
304177	n	giddiness
304180	n	gift
304186	n	gig
304191	vtr	gild
304200	n	gimlet
304203	n	gin
304220	n	gipsy
304221	n	giraffe
304235	n	gist
304236	n	give
304255	n	gizzard
304256	n	glacier
304299	n	gleam
304305	adj	glib
304323	vi	gloat
304362	n	glucose
304376	n	glycerin(e)
304378	n	GMT
304379	adj	gnarled
304385	n	gnome
304386	n	GNP
304425	n	goad
304437	n	gobble
304446	n	god
304466	abbrev	goes
304469	vi	goggle
304474	n	going
304480	pr n	Golan
304525	n	gondola
304532	n	good
304572	n	gore
304580	excl	gosh
304593	abbrev	got
304598	vtr	gouge
304602	vtr	govern
304618	n	gown
304620	n	GPO
304623	n	grab
304791	n	grease
304878	n	grid
304937	n	groan
305040	n	grub
305063	n	guarantee
305081	pr n	Guernsey
305098	n	guff
305100	n	guidance
305127	pr n	Gulf
305139	n	gum
305146	n	gun
305169	n	gurgle
305172	n	gush
305180	n	gut
305193	n	guv
305194	n	guy
305197	vtr	guzzle
305199	n	gym
305207	n	gynaecologist
400004	n	haberdasher
400020	n	hack
400040	abbrev	had
400043	n	haematoma
400044	n	hematoma
400058	n	hag
400062	n	hail
400105	n	hake
400106	adj	halcyon
400164	n	hatibut
400195	n	ham
400213	n	hand
400315	n	ha'penny
400316	adj	haphazard
400318	adj	harpless
400422	abbrev	has
400451	adv	haughtily
400463	pr n	Havana
400480	n	haw
400488	n	hay
400496	n	hazard
400505	n	HDTV
400508	n	head
400530	n	hunting
400667	n	Hebrev
400669	n	heck
400678	n	hedge
400687	n	heed
400694	adj	hefty
400695	n	heifer
400704	abbrev	held
400747	n	hen
400757	n	hepatitis
400758	pron	her
400811	abbrev	he's
400812	n	hesitancy
400818	adj	heterogeneous
400822	vtr	hew
400823	n	hexagon
400824	excl	hey
400829	n	hiatus
400830	vi	hibernate
400832	n	hiccup
400835	abbrev	hid
400852	adj	hierarchic
400857	n	high
400952	n	hijack
400956	n	hike
400961	adj	hilarious
400970	pron	him
400975	n	hind
400993	n	hip
401006	n	hire
401010	pron	his
401023	n	hit
401043	n	HIV
401048	n	HMI
401049	n	HMS
401051	n	HNC
401052	n	HND
401053	n	hoard
401061	n	hob
401068	n	hock
401071	n	hod
401072	n	hoe
401075	n	hog
401081	n	hoist
401084	n	hokum
401085	n	hold
401143	n	homage
401212	pr n	Hon
401254	n	hood
401281	n	hop
401298	n	horde
401352	n	hose
401374	adj	hot
401410	n	hound
401473	abbrev	hove
401477	adj	how
401490	n	HRH
401491	n	HRT
401494	n	hub
401497	n	huckleberry
401499	n	huddle
401500	n	hue
401502	n	huff
401505	n	hug
401510	excl	huh
401511	n	hulk
401517	n	hum
401621	n	hurdle
401647	n	husband
401667	n	hut
401669	n	hyacinth
401670	n,adj	hybrid
401671	n	hydra
401691	n	hyena
401692	n	hygiene
401695	n	hymn
401697	n	hype
401731	n	hysterectomy
410001	n	jab
410006	n	jack
410021	n	jade
410023	adj	jagged
410024	n	jail
410027	n	jam
410038	pr n	Jan
410046	pr n	Japan
410049	n	jar
410053	n	jasmine
410054	n	jaundise
410058	n	javelin
410059	n	jaw
410061	n	jay
410063	n	jazz
410069	adj	jealous
410073	n	jeer
410078	vi	jell
410085	vtr	jeopardize
410087	n	jerk
410097	n	jest
410103	n	jet
410116	n	Jew
410125	n	jib
410129	n	jiff(y)
410131	n	jig
410135	n	jtgsaw
410136	n	jihad
410137	vtr	jilt
410139	n	jingle
410146	npl	jitters
410148	n	jive
410150	adj	Jnr
410151	n	job
410164	n	jockey
410169	npl	jodhpurs
410171	n	jog
410177	pr n	John
410181	n	join
410202	n	jojoba
410203	n	joke
410208	n	jollity
410216	pr n	Jordan
410218	vtr	jostle
410220	n	jot
410225	n	journal
410230	adj	jovial
410231	n	jowl
410232	n	joy
410240	adj	jubilant
410243	adj	Juiac
410244	n	Judaism
410256	n	jug
410267	n	jukebox
410268	pr n	Jul
410271	n	jumble
410296	pr n	Jun
410317	n	jurisdiction
410325	adv	just
410340	vi	jut
410342	n	juvenile
410348	n	juxtaposition
410353	pr n	Kabul
410354	n	kaftan
410355	n	kale
410357	n	kangaroo
410359	n	kaolin
410360	n	kapok
410362	n	karaoke
410367	pr n	Kashmir
410369	n	kayak
410370	n	kazoo
410372	n	kebab
410373	n	kedgeree
410374	n	keel
410400	n	keg
410401	n	kelp
410403	n	kennel
410405	abbrev	kept
410407	n	kerb
410410	n	kestrel
410411	n	ketchup
410414	n	key
410439	n	khaki
410441	n	kibbutz
410443	n	kick
410459	n	kid
410476	n	kill
410487	n	klin
410494	n	kin
410523	n	kiosk
410524	n	kip
410527	pr n	Kirghizstan
410529	n	kiss
410535	n	kit
410557	n	kiwi
410559	n	kleptomania
410563	n	kmh
410564	n	knack
410567	vtr	knead
410583	npl	knickerbockers
410604	n	knob
410644	n	knuckle
410650	n	kohl
410651	adj	kookie
410652	n	Koran
410657	adj	kosher
410658	vi	kowtow
410659	n	kph
410662	n	kudos
410663	n	kumquat
410664	n	Kurdish
410667	n	Kuwaiti
410670	n	kWh
410749	n	mascot
410810	n	mat
410870	adj	maudlin
410878	n	maverick
410880	adj	mawkish
410881	n	maxi
410889	modal aux	may
410902	n	maze
410904	n	MBA
410905	n	MBE
410907	n	McCoy
410911	n	mead
410951	pr n	Mecca
410959	n	medal
411019	adj	meek
411028	n	mega
411035	n	melancholy
411056	n	member
411101	n	MEP
411102	adj	mercantile
411141	n	mesh
411158	adj	metabolic
411207	n	mew
411210	n	Mexican
411217	n	mezzanine
411218	pr n	Mgr
411220	n	MI5
411221	n	MI6
411222	n	miaow
411225	pr n	Michaelmas
411250	combining 	mid
411313	adj	minffed
411314	modal aux	might
411324	n	mike
411325	n	mild
411385	n	mime
411487	n	miracle
411495	n	misadventure
411594	n	mite
411599	n	mix
411624	n	moan
411627	n	mob
411628	n modifier	mod
411638	n	mocha
411689	n	mogul
411690	pr n	Mohammed
411695	adj	moist
411701	n	molar
411714	n	moment
411720	n	monarch
411786	vi	moo
411812	n	mop
411819	n	moral
411882	n	mosaic
411902	n	MOT
411971	vtr	mould
412010	adj	movablr
412035	vtr	mow
412039	n	mpg
412040	n	mph
412043	n	Mrs
412045	n	MSc
412046	adv	much
412061	n	mud
412077	n	muff
412081	n	mug
412087	pr n	Muhammad
412088	npl	mujaheddin
412089	n	mulatto
412138	n	mum
412146	vtr	munch
412153	n	mural
412170	n	muscle
700001	n	settler
700002	n	share
700009	n	seven
700032	vtr	sew
700039	n	send
700041	n	sabbath
700051	n	sac
700073	adj	sad
700086	n	sae
700087	n	safari
700104	v	sag
700114	n	sahara
700115	abbrev	said
700134	n	sake
700135	adj	salacious
700176	adj	same
700184	n	sanatorium
700229	n	sap
700234	n	Saracen
700242	n	SAS
700247	abbrev	sat
700282	n	sauce
700290	n	scallop
700339	n	scenario
700352	n	schedule
700396	n	sciatica
700406	vtr	scoff
700459	vi	scrabble
700559	vi	scud
700579	n	scythe
700582	n	SDLP
700584	n	sea
700667	n	sec
700739	adj	sedate
700748	vtr	see
700777	n	segment
700782	adj	seismic
700790	adj	seldom
700933	adj	semantic
701022	adj	separable
701140	n	sequel
701145	pr n	Serbia
701284	adj	sizeable
701287	n	skate
701296	n	skein
701316	n	ski
710001	vtr	launder
710007	n	lav
710017	n	law
710039	n	lax
710042	abbrev	lay
710055	vi	laze
710063	n	LCD
710064	n	lead
710151	vi	lend
710177	n	Lebanon
710179	n	lecher
710191	abbrev	led
710194	n	lee
710202	abbrev	left
710216	n	leg
710255	pr n	Leics
710262	n	lemming
710292	n	leo
710297	n	leper
710300	n	lesbian
710314	vtr	let
710343	n	leuk(a)emia
710344	n	level
710363	adj	lewd
710365	adj	lexical
710369	n	liability
710377	n	libel
710403	abbrev	lice
710419	n	lid
710421	n	lie
710438	n	life
710479	n	ligament
710512	prep	like
710528	n	lilac
710536	n	limb
710560	n	linchpin
720039	n	lion
720043	n	lip
720047	n	liqueur
720059	n	lira
720060	pr n	lisbon
720076	abbrev	lit
720106	vi	live
720133	n	lizard
720134	n	llama
720135	n	load
720144	n	lob
720156	n	local
720187	vtr	lodge
720191	n	loft
720195	n	log
720214	n	loin
720216	vi	loll
720221	pr n	london
720252	n	loo
720298	vtr	lop
720300	n	lord
720309	vtr	lose
720319	pron	lot
720324	adj	loud
720330	n	love
720343	n	low
720367	adj	loyal
720371	n	lozenge
720374	n	lubricant
720376	n	lucidity
720384	n	lullaby
720385	adj	lumbar
720396	n	lunch
720402	n	lurcher
720408	n	lush
720410	n	lychee
720412	n	lying
720413	n	lymph
720414	vtr	lynch
720416	pr n	lyons
720417	n	lyric
720423	n	lactate
720425	adj	ladderproof
720432	pp	lain
720434	vtr	lambaste
720471	n	languor
720477	n	lasagne
720482	n	lateness
720510	pp	sawn
720554	n	sex
720586	n	stardom
720597	n	shire
720601	adj	shod
720605	n	shrink
720606	n	shufty
720611	n	siding
720613	adj	sighted
720616	n	silk
720617	adv	similarly
720622	n	sisterhood
720636	vi	skulk
720640	vtr	slacken
720651	adj	sleepy
720652	n	slickness
720656	n	slog
720657	n	slumber
720658	n	smudge
720662	n	sniping
720690	n	soket
720693	n	softening
720696	n	solidarity
720700	adj	sonic
720702	n	sort
720709	n	SOS
720713	n	soul
720751	adj	sparse
720755	n	sped
720768	n	spite
720769	adv	splendidly
720774	n	spoiler
720778	adj	sprawling
720786	adj	spun
720787	n	spying
720788	n	squalor
730001	adj	surreptitious
730002	v	suspend
730003	n	suede
730006	vtr	suffer
730024	n	sugar
730039	adj	suicidal
730053	n	sulpur
730065	n	sum
730084	n	sun
730126	n	super
740042	n	swab
740068	vtr	swear
740124	n	swift
740180	abbrev	swollen
740196	n	sycamore
740199	n	syllable
740203	n	symbol
740217	n	sync
740234	n	syphon
740235	pr n	Syria
740239	n	system
750007	n	sovereign
750011	n	sow
750015	n	soya
750018	adj	sozzled
750213	n	sphere
750458	n	srout
750545	n	SRN
750547	n	SSA
750974	adj	sly
750976	n	smack
751014	n	smear
751029	n	smile
751036	n	smock
751085	n	snack
751111	n	sneak
751145	n	snob
751177	n	snub
751191	n	soak
751208	n	sob
751218	n	soccer
751244	n	soda
751288	adj	soggy
751289	n	soh
751290	n	soil
751341	adj	sombre
751365	adv	soon
751372	n	sop
751632	adj	shy
751634	n	siamese
751635	pr n	siberia
751637	n	sick
751664	n	siege
751669	vtr	sift
751705	adj	sikh
751767	n	sin
751821	n	siphon
751822	n	sir
751830	vtr	sit
751850	n	six
751918	n	sky
751994	n	stead
752089	n	stg
752090	n	stick
752147	n	stock
752245	n	straddle
752409	n	stub
752490	n	sty
752502	adj	suave
752503	n	sub
752575	vtr	succeed
752605	pr n	sudan
752619	n	savage
752650	n	sax
752655	n	say
752684	pron	she
752733	excl	shhh
760005	n	label
760052	n	largeness
760124	n	lag
760130	n	lah
760133	n	lake
760182	pr n	laos
760183	n	lap
780037	pr n	luxembourg
780270	abbrew	SLD
800001	n	tab
800021	n	tachograph
800043	n	tadpole
800044	n	taffeta
800045	n	tag
800052	n	tail
800070	n	take
800104	n	talc
800134	n	tambourine
800139	n	tan
800172	n	tap
800193	n	tar
800219	n	task
800233	adj	tattered
800240	abbrev	taught
800250	adj	tawdry
800253	n	tax
800283	n	tbsp
800285	n	tea
800355	n	tech
800367	n	teddy
