"serialno    ID	hypernym	GLOSS	DOMAIN	SynSize									Senses
"131	2738	ENG20-04935648-n	ENG20-04919813-n	a group of physiologically or anatomically related organs or parts	anatomy	1	system%5", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28	3903	ENG20-09198511-n	ENG20-00006026-n	(usually plural) persons who exercise (administrative) control over others	administration	1	authority%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"865	2720	ENG20-04896629-n	ENG20-04521520-n	possession of controlling influence	factotum	2	power%1", powerfulness%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"155	2808	ENG20-05279658-n	ENG20-05281745-n	the protruding part of the lower jaw	anatomy	2	chin%1", mentum%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"598	716	ENG20-00752806-n	ENG20-00748593-n	a venture undertaken without regard to possible loss or injury	factotum	3	risk%2", peril%3, danger%2, ,,,,,,,,,,,,,,,,,,,,,,,,,
"1978	4670	ENG20-14387176-n	ENG20-14257468-n	a period marked by distinctive character or reckoned from a fixed point or event	history	2	era%1", epoch%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1956	4669	ENG20-14386954-n	ENG20-14260439-n	a unit of geological time	geology	1	epoch%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951	4532	ENG20-13823287-n	ENG20-13746072-n	solid homogeneous inorganic substances occurring in nature having a definite chemical composition	geology	1	mineral%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"851	355	ENG20-00329664-n	ENG20-00326308-n	turning or twisting around (in place)	factotum	2	twist%12", turn%7, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"861	356	ENG20-00329851-n	ENG20-00326308-n	the act of winding or twisting	factotum	3	wind%8", winding%1, twist%11, ,,,,,,,,,,,,,,,,,,,,,,,,,
"699	3270	ENG20-06900340-n	ENG20-06861102-n	a movement in a new direction	factotum	2	turning%3", turn%5, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"595	3956	ENG20-09490702-n	ENG20-09491075-n	the mother of your father or mother	factotum	5	grandma%1", grandmother%1, granny%1, grannie%1, gran%1, ,,,,,,,,,,,,,,,,,,,,,,,
"2775	1183	ENG20-01247567-n	ENG20-00012748-n	an animal that produces gametes (ova) that can be fertilized by male gametes (spermatozoa)	zoology	1	female%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"261	4098	ENG20-11457645-n	ENG20-12333068-n	a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests	botany	2	herb%1", herbaceous plant%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"435	2234	ENG20-03131240-n	ENG20-04042110-n	a retail shop where medicine and other articles are sold	commerce	5	drugstore%1", apothecary's shop%1, chemist's%1, chemist's shop%1, pharmacy%2, ,,,,,,,,,,,,,,,,,,,,,,,
"2335	2462	ENG20-03920872-n	ENG20-03600430-n	a medicine or therapy that cures disease or relieve pain	pharmacy	3	remedy%2", curative%1, cure%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"1950	4206	ENG20-12713540-n	ENG20-12724140-n	(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)	geology	5	erosion%1", eroding%1, eating away%1, wearing%1, wearing away%1, ,,,,,,,,,,,,,,,,,,,,,,,
"1880	3427	ENG20-07384569-n	ENG20-07383917-n	a white crystalline carbohydrate used as a sweetener and preservative	gastronomy	2	sugar%1", refined sugar%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955	4583	ENG20-14166697-n	ENG20-13999657-n	a loose material consisting of grains of rock or coral	geology	1	sand%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"430	2259	ENG20-03186190-n	ENG20-02965274-n	commodities (goods or services) sold to a foreign country	commerce	2	export%1", exportation%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"459	4222	ENG20-12798294-n	ENG20-12755345-n	(ecology) the gradual and orderly process of change in an ecosystem brought about by the progressive replacement of one community by another until a stable climax is established	ecology	2	succession%4", ecological succession%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"197	3699	ENG20-08044749-n	ENG20-08055039-n	an imaginary line around the Earth forming the great circle that is equidistant from the north and south poles	astronomy	1	equator%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"406	4007	ENG20-09715483-n	ENG20-09252459-n	(law) someone who owns (is legal possessor of) a business	commerce	2	owner%1", proprietor%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"220	1231	ENG20-01309903-n	ENG20-00003226-n	an animal or plant that nourishes and supports a parasite; the host does not benefit and is often harmed by the association	biology	1	host%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"616	720	ENG20-00759579-n	ENG20-00754095-n	the act of having and controlling property	factotum	2	possession%1", ownership%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"29	3689	ENG20-08034444-n	ENG20-08104509-n	territory over which rule or control is exercised	administration	3	domain%2", demesne%2, land%4, ,,,,,,,,,,,,,,,,,,,,,,,,,
"630	45	ENG20-00027371-n	null	anything owned or possessed	factotum	1	possession%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"494	4132	ENG20-12492114-n	ENG20-12491939-n	extensive landed property (especially in the country) retained by the owner for his own use	economy	5	estate%2", land%7, landed estate%1, acres%1, demesne%1, ,,,,,,,,,,,,,,,,,,,,,,,
"507	3613	ENG20-07857433-n	ENG20-07924048-n	the system of production and distribution and consumption	economy	2	economy%1", economic system%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"720	2583	ENG20-04438005-n	ENG20-00027563-n	any attribute or quality considered as having its own existence	factotum	1	thing%6", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"489	4135	ENG20-12495796-n	ENG20-12489711-n	property that has economic utility: a monetary value or an exchange value	economy	1	wealth%4", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"491	4486	ENG20-13667176-n	ENG20-13664727-n	the state of being rich and affluent; having a plentiful supply of material goods and money	economy	2	wealth%1", wealthiness%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"499	4487	ENG20-13667679-n	ENG20-13667176-n	abundant wealth	economy	2	affluence%1", richness%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1107	2915	ENG20-05480820-n	ENG20-05480371-n	an isolated fact that is considered separately from the whole	factotum	3	detail%1", item%4, point%5, ,,,,,,,,,,,,,,,,,,,,,,,,,
"124	2746	ENG20-04963895-n	ENG20-04919813-n	a part of an organism consisting of an aggregate of cells having a similar structure and function	anatomy	1	tissue%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"164	4037	ENG20-09911061-n	ENG20-09641340-n	a female person who is a fellow member of a sorority or labor union or other group	anthropology	1	sister%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91	1191	ENG20-01251775-n	ENG20-05156310-n	one of the bony outgrowths on the heads of certain ungulates	anatomy	1	horn%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1169	4202	ENG20-12703425-n	ENG20-12776691-n	a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)	factotum	2	development%2", evolution%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"838	909	ENG20-00955185-n	ENG20-00953533-n	the act of gathering something together	factotum	4	collection%4", collecting%1, assembling%1, aggregation%2, ,,,,,,,,,,,,,,,,,,,,,,,,
"1996	391	ENG20-00359417-n	ENG20-00359080-n	the act of breaking something	industry	3	breakage%3", break%6, breaking%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"49	315	ENG20-00290929-n	ENG20-00311823-n	descent with a parachute	aeronautic	2	jump%5", parachuting%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014	1056	ENG20-01121378-n	ENG20-01115063-n	(law) the determination by a court of competent jurisdiction on matters submitted to it	law	3	judgment%3", judgement%6, judicial decision%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"2015	764	ENG20-00822240-n	ENG20-00026194-n	the act of judging or assessing a person or situation or event	law	3	judgment%2", judgement%7, assessment%4, ,,,,,,,,,,,,,,,,,,,,,,,,,
"2018	3607	ENG20-07822581-n	ENG20-07669744-n	an assembly (including one or more judges) to conduct judicial business	law	3	court%1", tribunal%1, judicature%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"135	2766	ENG20-05095511-n	ENG20-05089633-n	a functionally specialized substance (especially one that is not a waste) released from a gland or cell	anatomy	1	secretion%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1842	2560	ENG20-04373065-n	ENG20-03281101-n	a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes	furniture	3	wardrobe%1", closet%3, press%6, ,,,,,,,,,,,,,,,,,,,,,,,,,
"1843	2170	ENG20-02907146-n	ENG20-03281101-n	furniture with drawers for keeping clothes	furniture	4	chest of drawers%1", chest%3, bureau%2, dresser%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"2248	3939	ENG20-09421742-n	ENG20-09198263-n	an authority who is able to estimate worth or quality	person	2	evaluator%1", judge%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"13	3968	ENG20-09565904-n	ENG20-09699884-n	a public official authorized to decide questions bought before a court of justice	administration	4	judge%1", justice%3, jurist%2, magistrate%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"454	3931	ENG20-09375505-n	ENG20-09451625-n	someone who believes and helps to spread the doctrine of another	doctrines	2	disciple%1", adherent%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"347	4518	ENG20-13781606-n	ENG20-13974154-n	any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water	chemistry	2	base%1", alkali%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"453	4193	ENG20-12684070-n	ENG20-12695915-n	soft decayed area in a tooth; progressive decay can lead to the death of a tooth	dentistry	4	cavity%3", caries%1, dental caries%1, tooth decay%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"90	2758	ENG20-05002472-n	ENG20-08134364-n	the enamel covered part of a tooth above the gum	anatomy	1	crown%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"139	1672	ENG20-02071466-n	ENG20-04924597-n	toothlike structure in invertebrates found in the mouth or alimentary canal or on a shell	anatomy	1	tooth%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"142	2748	ENG20-04978500-n	ENG20-04966339-n	hard bonelike structures in the jaws of vertebrates; used for biting and chewing or for attack and defense	anatomy	1	tooth%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2790	1300	ENG20-01425787-n	ENG20-01394664-n	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings	zoology	1	bird%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2140	4620	ENG20-14297855-n	ENG20-14296945-n	the dark part of the diurnal cycle considered a time unit	metrology	1	night%4", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2654	4631	ENG20-14308352-n	ENG20-14257468-n	the period spent sleeping	time_period	1	night%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2655	4632	ENG20-14308455-n	ENG20-14257468-n	a period of ignorance or backwardness or gloom	time_period	1	night%7", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1887	3392	ENG20-07115585-n	ENG20-07090752-n	liquid food especially of meat or fish or vegetable stock often containing pieces of solid food	gastronomy	1	soup%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"338	2225	ENG20-03075421-n	ENG20-03030489-n	small cubes with 1 to 6 spots on the faces; used to generate random numbers	card	2	dice%1", die%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1858	3395	ENG20-07133518-n	ENG20-07089248-n	a food made from roasted ground cacao beans	gastronomy	1	chocolate%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1845	2221	ENG20-03064679-n	ENG20-04209815-n	a piece of furniture with a writing surface and usually drawers or other compartments	furniture	1	desk%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1846	2521	ENG20-04209815-n	ENG20-03281101-n	a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs	furniture	1	table%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1847	2522	ENG20-04210535-n	ENG20-03281101-n	a piece of furniture with tableware for a meal laid out on it	furniture	1	table%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1917	3800	ENG20-08740459-n	ENG20-08705260-n	an impenetrable equatorial forest	geography	1	jungle%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1890	3406	ENG20-07234211-n	ENG20-07089248-n	fresh fruits and vegetable grown for the market	gastronomy	4	produce%1", green goods%1, green groceries%1, garden truck%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"396	4569	ENG20-14090688-n	ENG20-00017572-n	a substance that is fluid at room temperature and pressure	chemistry	1	fluid%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"397	4571	ENG20-14091166-n	ENG20-14090688-n	a substance that is liquid at room temperature and pressure	chemistry	1	liquid%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"233	1230	ENG20-01309233-n	ENG20-00003226-n	an animal or plant that lives in or on a host (another animal or plant); the parasite obtains nourishment from the host without benefiting or killing the host	biology	1	parasite%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"59	26	ENG20-00018827-n	ENG20-00017572-n	any substance that can be metabolized by an organism to give energy and build tissue	alimentation	2	food%1", nutrient%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"256	4092	ENG20-10808606-n	ENG20-00014510-n	a plant originally cultivated but now growing wild	botany	1	escape%8", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"75	2795	ENG20-05242579-n	ENG20-05242036-n	a human limb; commonly used to refer to a whole limb but technically only the part between the knee and ankle	anatomy	1	leg%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"151	2796	ENG20-05244575-n	ENG20-04919813-n	the front part of the human leg between the knee and the ankle	anatomy	1	shin%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"361	4562	ENG20-14033732-n	ENG20-14193490-n	a brittle transparent solid with irregular atomic structure	chemistry	1	glass%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2017	1038	ENG20-01095678-n	ENG20-01059781-n	the act of punishing	law	4	punishment%1", penalty%1, penalization%1, penalisation%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"564	2642	ENG20-04650290-n	ENG20-04436965-n	the capacity to assess situations or circumstances shrewdly and to draw sound conclusions	factotum	5	judgment%6", judgement%5, sound judgment%1, sound judgement%1, perspicacity%2, ,,,,,,,,,,,,,,,,,,,,,,,
"272	3228	ENG20-06845887-n	ENG20-06844921-n	(boxing) a victory won on points when no knockout has occurred	boxing	1	decision%3", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1113	2275	ENG20-03240983-n	ENG20-04133215-n	a stairway (set of steps) between one floor or landing and the next	factotum	3	flight%3", flight of stairs%1, flight of steps%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"346	4535	ENG20-13846926-n	ENG20-14062859-n	a volatile flammable mixture of hydrocarbons (hexane and heptane and octane etc.) derived from petroleum; used mainly as a fuel in internal-combustion engines	chemistry	4	gasoline%1", gasolene%1, gas%3, petrol%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"400	498	ENG20-00477923-n	ENG20-00477101-n	a game for two players who move their 16 pieces according to specific rules; the object is to checkmate the opponent's king	chess	2	chess%2", chess game%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"65	3430	ENG20-07410915-n	ENG20-07408983-n	drink made by steeping and boiling and fermenting rather than distilling	alimentation	2	brew%1", brewage%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"2541	3191	ENG20-06754472-n	ENG20-05870645-n	a set of questions or exercises evaluating skill or knowledge	school	3	examination%2", exam%1, test%5, ,,,,,,,,,,,,,,,,,,,,,,,,,
"774	575	ENG20-00599932-n	ENG20-00598213-n	the act of examining something closely (as for mistakes)	factotum	2	examination%1", scrutiny%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1906	3821	ENG20-08807763-n	ENG20-08651117-n	a small body of standing water (rainwater) or other liquid	geography	2	pool%6", puddle%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"205	2279	ENG20-03244639-n	ENG20-03009582-n	a covering for a floor	auto	2	floor cover%1", floor covering%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"296	2277	ENG20-03243500-n	ENG20-03405963-n	the inside lower horizontal surface (as of a room or hallway)	building_industry	2	floor%1", flooring%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"695	4145	ENG20-12512969-n	ENG20-12509957-n	something given for victory or superiority in a contest or competition or for winning a lottery	factotum	2	prize%1", award%3, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"2744	2450	ENG20-03834242-n	ENG20-03703456-n	an opening (in a wall or ship or armored vehicle) for firing through	transport	3	port%3", embrasure%1, porthole%2, ,,,,,,,,,,,,,,,,,,,,,,,,,
"153	2801	ENG20-05259279-n	ENG20-05259088-n	a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus	anatomy	4	ankle%1", ankle joint%1, mortise joint%1, articulatio talocruralis%1, ,,,,,,,,,,,,,,,,,,,,,,,,
"553	1678	ENG20-02075325-n	ENG20-01688019-n	small air-breathing arthropod	entomology	1	insect%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2730	2271	ENG20-03206550-n	ENG20-02699019-n	a barrier that surrounds the wheels of a vehicle to block splashing water or mud	transport	2	fender%1", wing%8, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"166	3796	ENG20-08705692-n	ENG20-08816616-n	the remains (or an impression) of a plant or animal that existed in a past geological age and that has been excavated from the soil	archaeology	1	fossil%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1938	3828	ENG20-08824564-n	ENG20-00017087-n	a lump or mass of hard consolidated mineral matter	geology	2	rock%1", stone%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939	4538	ENG20-13856711-n	ENG20-13746072-n	material consisting of the aggregate of minerals like those making up the Earth's crust	geology	2	rock%2", stone%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952	3780	ENG20-08656377-n	ENG20-08824564-n	a hard lump produced by the concretion of mineral salts; found in hollow organs or ducts of the body	geology	2	calculus%1", concretion%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1837	4594	ENG20-14262591-n	ENG20-14257468-n	a time period when you are not required to work	free_time	1	time off%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1876	3426	ENG20-07383917-n	ENG20-07336473-n	something added to foods to make them taste sweeter	gastronomy	2	sweetening%1", sweetener%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"1882	3394	ENG20-07129172-n	ENG20-07128671-n	a rich sweet made of flavored sugar and often combined with fruit or nuts	gastronomy	1	candy%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"243	4100	ENG20-12150556-n	ENG20-12360778-n	any of various tropical plants of the genus Capsicum bearing peppers	botany	3	capsicum%1", pepper%2, capsicum pepper plant%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"811	2192	ENG20-02982528-n	ENG20-03443493-n	any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)	factotum	1	container%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5	2878	ENG20-05388449-n	ENG20-05386671-n	the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience	acoustics	3	noise%2", dissonance%2, racket%3, ,,,,,,,,,,,,,,,,,,,,,,,,,
"1856	2341	ENG20-03500773-n	ENG20-03281101-n	a piece of furniture holding one or more electric light bulbs	furniture	1	lamp%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1115	3770	ENG20-08150497-n	ENG20-08149291-n	general line of orientation	factotum	2	course%6", trend%2, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"739	3008	ENG20-05831002-n	ENG20-05817574-n	an integrated set of attitudes and beliefs	factotum	1	orientation%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"889	3293	ENG20-06942817-n	ENG20-06934954-n	a short high-pitched noise	factotum	1	squeak%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"137	2813	ENG20-05282670-n	ENG20-05281745-n	the flat area on either side of the forehead	anatomy	1	temple%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56	2287	ENG20-03292204-n	ENG20-08144209-n	a plot of ground where plants are cultivated	agriculture	1	garden%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"83	2786	ENG20-05235504-n	ENG20-04919813-n	the front part of the trunk from the neck to the abdomen	anatomy	1	breast%1", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121	2787	ENG20-05235699-n	ENG20-05235504-n	a person's breast or chest	anatomy	1	bosom%2", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"149	2785	ENG20-05234842-n	ENG20-04919813-n	the part of the human body between the neck and the diaphragm or the corresponding part in other vertebrates	anatomy	3	thorax%2", chest%1, pectus%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"2746	2231	ENG20-03124730-n	ENG20-03941718-n	a wide scenic road planted with trees	transport	2	drive%11", parkway%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"53	805	ENG20-00863708-n	ENG20-00861982-n	the cultivation of plants	agriculture	2	gardening%1", horticulture%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"249	4093	ENG20-10924345-n	ENG20-10930823-n	reproductive organ of angiosperm plants especially one having showy or colorful parts	botany	3	flower%2", bloom%2, blossom%1, ,,,,,,,,,,,,,,,,,,,,,,,,,
"815	3068	ENG20-06092170-n	ENG20-06086223-n	a list of dishes available at a restaurant	factotum	5	menu%1", bill of fare%1, card%9, carte du jour%1, carte%1, ,,,,,,,,,,,,,,,,,,,,,,,
"2171	845	ENG20-00898277-n	ENG20-00389883-n	activity by a military or naval force (as a maneuver or campaign)	military	2	operation%6", military operation%1, ,,,,,,,,,,,,,,,,,,,,,,,,,,
"299	2501	ENG20-04130980-n	ENG20-04174544-n	a large structure for open-air sports or entertainments	building_industry	4	stadium%1", bowl%5, arena%3, sports stadium%1, ,,,,,,,,,,,,,,,,,,,,,,,,
